data_type,n,d,livello,rep,method,measure,acc./ARI
Gauss,100,10,facile,16,umap,kmeans,0.6365
Gauss,100,10,facile,16,umap,tree,0.93
Gauss,100,10,facile,16,pca,kmeans,0.5433
Gauss,100,10,facile,16,pca,tree,0.92
Torus,100,10,facile,16,tsne,kmeans,0.2844
Torus,100,10,facile,16,tsne,tree,0.9
Torus,100,10,facile,16,umap,kmeans,0.2059
Torus,100,10,facile,16,umap,tree,0.94
Torus,100,10,facile,16,pca,kmeans,0.1514
Torus,100,10,facile,16,pca,tree,0.87
Gauss,100,10,facile,17,tsne,kmeans,0.6364
Gauss,100,10,facile,17,tsne,tree,0.91
Gauss,100,10,facile,17,umap,kmeans,0.6044
Gauss,100,10,facile,17,umap,tree,0.92
Gauss,100,10,facile,17,pca,kmeans,0.543
Gauss,100,10,facile,17,pca,tree,0.92
Torus,100,10,facile,17,tsne,kmeans,0.1521
Torus,100,10,facile,17,tsne,tree,0.97
Torus,100,10,facile,17,umap,kmeans,0.43
Torus,100,10,facile,17,umap,tree,0.9
Torus,100,10,facile,17,pca,kmeans,0.223
Torus,100,10,facile,17,pca,tree,0.85
Gauss,100,10,facile,18,tsne,kmeans,0.5431
Gauss,100,10,facile,18,tsne,tree,0.92
Gauss,100,10,facile,18,umap,kmeans,0.6364
Gauss,100,10,facile,18,umap,tree,0.88
Gauss,100,10,facile,18,pca,kmeans,0.5431
Gauss,100,10,facile,18,pca,tree,0.91
Torus,100,10,facile,18,tsne,kmeans,0.3535
Torus,100,10,facile,18,tsne,tree,0.87
Torus,100,10,facile,18,umap,kmeans,0.3783
Torus,100,10,facile,18,umap,tree,0.87
Torus,100,10,facile,18,pca,kmeans,0.136
Torus,100,10,facile,18,pca,tree,0.83
Gauss,100,10,facile,19,tsne,kmeans,0.43
Gauss,100,10,facile,19,tsne,tree,0.86
Gauss,100,10,facile,19,umap,kmeans,0.4849
Gauss,100,10,facile,19,umap,tree,0.88
Gauss,100,10,facile,19,pca,kmeans,0.4301
Gauss,100,10,facile,19,pca,tree,0.88
Torus,100,10,facile,19,tsne,kmeans,0.2038
Torus,100,10,facile,19,tsne,tree,0.93
Torus,100,10,facile,19,umap,kmeans,0.1856
Torus,100,10,facile,19,umap,tree,0.92
Torus,100,10,facile,19,pca,kmeans,0.1862
Torus,100,10,facile,19,pca,tree,0.94
Gauss,100,10,facile,20,tsne,kmeans,0.4849
Gauss,100,10,facile,20,tsne,tree,0.91
Gauss,100,10,facile,20,umap,kmeans,0.4572
